,User,Follows_Count,Language,Date_Tweet,Source_of_Tweet,Tweet,Hashtags,Place
8589,iheartjustin6,2,en,2010-06-28 23:55:25+00:00,Twitter Web Client,Jieber can drive me anywhere he wants!!!!! http://shortlinks.co.uk/1svo Daniel Alves CHILE CTM Michel Bastos #worldcup BOCA GALVÃ,['worldcup'],
8590,SteveAkinsSEO,15620,en,2010-06-28 23:55:23+00:00,TweetDeck,@SEOcopy MBonjour Gabriella. De rien! :) I have been following #worldcup.,['worldcup'],
8591,mariayells,617,en,2010-06-28 23:55:21+00:00,Twitter Web Client,oh so #svk scores in the added 3 minutes??? NICE. #ned #worldcup #replay,"['svk', 'ned', 'worldcup', 'replay']",
8592,iheartjustin002,0,en,2010-06-28 23:55:18+00:00,Twitter Web Client,I would chauffer his little sexyness around all the time! http://shortlinks.co.uk/1svo Mick Jagger Venha Holanda Laranja Mecâca #worldcup,['worldcup'],
8593,Waqar07Alam,238,en,2010-06-28 23:55:16+00:00,Pring,#BRA 0:0 #CHI: 30'KAKA{Brazil)isbookedbythereferee.  #worldcup,"['BRA', 'CHI', 'worldcup']",
8594,hellomotow28,14,en,2010-06-28 23:55:14+00:00,Twitter Web Client,Addicted to http://www.worldshardestgame3.com Pretty Boy Swag Felipe Melo #worldcup Martin Amis Steve Carell Fonzworth Bentley,['worldcup'],
8595,JustFootball,22763,en,2010-06-28 23:55:09+00:00,Twitter Web Client,"RT @toksuede #worldcup Not much of a surprise nor particularly interesting, but it was where Brazil happened.  Check it http://bit.ly/cVpvCj",['worldcup'],
8596,sakee565,1,en,2010-06-28 23:55:04+00:00,Twitter Web Client,Get free #worldcup Twitter Backgrounds http://twitlay.com/layouts.php?q=fifa+2010 from Twitlay.com 1277769303,['worldcup'],
8597,ScoreHints,974,en,2010-06-28 23:55:03+00:00,Twitter Web Client,#Carlton are not trailing at 15 minute mark. Get the hint? WWW.SCOREHINTS.COM #WorldCup,"['Carlton', 'WorldCup']",
8598,rikooo177,0,en,2010-06-28 23:55:03+00:00,Twitter Web Client,Get free #worldcup Twitter Backgrounds http://twitlay.com/layouts.php?q=fifa+2010 from Twitlay.com 1277769302,['worldcup'],
8599,hellomotow8,323,en,2010-06-28 23:55:02+00:00,Twitter Web Client,Just finished off playing The Worlds Hardest game :) http://www.worldshardestgame3.com Fonzworth Bentley #worldcup Felipe Melo,['worldcup'],
8600,SoccerJock007,16968,en,2010-06-28 23:55:00+00:00,Hootsuite,"Paraguay, Japan chase first #WorldCup quarterfinal -  http://ow.ly/24sdS   #PAR  #JAP","['WorldCup', 'PAR', 'JAP']",
8601,chelseacpaul,556,en,2010-06-28 23:54:58+00:00,Twitter Web Client,"now that usa lost, can we all go back to not caring about soccer? #worldcup",['worldcup'],
8602,SuperIgor,2632,en,2010-06-28 23:54:56+00:00,Twitter Web Client,"""Venha Holanda"" is trending. it means ""Bring it on, #ned"" in Portuguese. #worldcup","['ned', 'worldcup']",
